DeviceTimestamp,V,W,K,L
2025-05-13 14:09:23.000,8.3,28.0,6.3,9.4
2025-05-13 14:09:23.055,7.5,25.8,6.9,9.4
2025-05-13 14:09:23.111,7.5,24.6,6.9,9.4
2025-05-13 14:09:23.166,7.5,23.5,7.6,9.4
2025-05-13 14:09:23.222,7.5,23.5,7.6,9.4
2025-05-13 14:09:23.277,7.5,22.4,7.6,9.4
2025-05-13 14:09:23.333,7.5,22.4,7.6,9.4
2025-05-13 14:09:23.388,7.5,22.4,7.6,9.4
2025-05-13 14:09:23.444,7.5,22.4,8.2,9.4
2025-05-13 14:09:23.500,7.5,21.3,8.2,9.4
2025-05-13 14:09:23.555,7.5,21.3,8.2,9.4
2025-05-13 14:09:23.611,7.5,21.3,8.2,9.4
2025-05-13 14:09:23.666,7.5,21.3,8.2,9.4
2025-05-13 14:09:23.722,7.5,21.3,8.2,9.4
2025-05-13 14:09:23.777,7.5,21.3,8.2,9.4
2025-05-13 14:09:23.833,7.5,21.3,8.2,9.4
2025-05-13 14:09:23.888,7.5,21.3,8.2,9.4
2025-05-13 14:09:23.944,7.5,21.3,8.2,9.4
2025-05-13 14:09:24.000,7.5,21.3,8.2,9.4
2025-05-13 14:09:24.055,7.5,20.1,8.2,9.4
2025-05-13 14:09:24.111,7.5,21.3,8.2,9.4
2025-05-13 14:09:24.166,7.5,20.1,8.2,9.4
2025-05-13 14:09:24.222,7.5,20.1,8.2,9.4
2025-05-13 14:09:24.277,7.5,20.1,8.2,9.4
2025-05-13 14:09:24.333,7.5,20.1,8.2,9.4
2025-05-13 14:09:24.388,7.5,20.1,8.2,9.4
2025-05-13 14:09:24.444,7.5,20.1,8.2,9.4
2025-05-13 14:09:24.500,7.5,20.1,8.2,9.4
2025-05-13 14:09:24.555,7.5,20.1,8.2,9.4
2025-05-13 14:09:24.611,7.5,20.1,8.2,9.4
2025-05-13 14:09:24.666,7.5,20.1,8.2,9.4
2025-05-13 14:09:24.722,7.5,20.1,8.2,9.4
2025-05-13 14:09:24.777,7.5,20.1,8.2,9.4
2025-05-13 14:09:24.833,7.5,20.1,8.2,9.4
2025-05-13 14:09:24.888,7.5,20.1,8.2,9.4
2025-05-13 14:09:24.944,7.5,20.1,8.2,9.4
2025-05-13 14:09:25.000,7.5,20.1,8.2,9.4
